Kuupäev;SO2;NO2;CO;O3;PM10;PM2.5;TEMP;WD10;WS10
"2022-04-30 23:00";0,4;7,5;0,28;71,9;17,6;7,5;6,7;272;0,7
"2022-04-30 22:00";0,4;7,9;0,27;73,9;13,3;4,0;8,1;271;0,9
"2022-04-30 21:00";0,7;14,6;0,59;72,6;13,3;4,0;8,8;218;0,7
"2022-04-30 20:00";0,4;6,1;0,35;84,4;10,9;3,2;10,0;224;0,8
"2022-04-30 19:00";0,2;3,5;0,28;89,0;8,6;2,4;10,5;233;0,7
"2022-04-30 18:00";0,3;2,4;0,22;91,1;8,6;2,4;10,5;246;0,8
"2022-04-30 17:00";0,1;1,0;0,20;91,3;7,8;2,0;10,3;204;0,9
"2022-04-30 16:00";0,3;0,7;0,21;91,2;7,0;1,6;10,0;208;0,9
"2022-04-30 15:00";0,2;0,7;0,21;90,2;7,0;1,6;9,5;258;0,7
"2022-04-30 14:00";0,3;0,9;0,21;89,0;7,8;1,6;9,0;232;0,4
"2022-04-30 13:00";0,3;0,9;0,21;85,8;8,6;1,6;7,9;301;0,8
"2022-04-30 12:00";0,2;1,4;0,19;84,0;8,6;1,6;7,0;321;0,8
"2022-04-30 11:00";0,5;2,3;0,20;74,9;8,2;1,6;6,5;280;0,9
"2022-04-30 10:00";0,7;3,8;0,23;69,0;7,8;1,6;4,9;268;0,9
"2022-04-30 09:00";0,6;4,8;0,21;62,8;7,8;1,6;3,3;289;0,8
"2022-04-30 08:00";0,7;4,1;0,20;63,1;7,0;1,6;2,0;278;0,8
"2022-04-30 07:00";0,5;7,6;0,21;60,7;6,2;1,6;0,7;269;0,6
"2022-04-30 06:00";0,4;2,5;0,21;66,8;6,2;1,6;0,0;276;0,9
"2022-04-30 05:00";0,2;1,8;0,19;68,4;7,8;2,4;0,5;290;1,0
"2022-04-30 04:00";0,2;2,4;0,19;68,2;9,4;3,2;1,5;284;1,0
"2022-04-30 03:00";-0,0;2,8;0,19;70,5;9,4;3,2;2,4;289;1,1
"2022-04-30 02:00";0,1;5,8;0,21;65,3;10,2;3,2;2,6;276;0,9
"2022-04-30 01:00";0,0;6,9;0,20;65,2;10,9;3,2;3,2;280;1,0
"2022-04-30 00:00";0,1;7,8;0,24;68,3;10,9;3,2;4,1;265;0,9
"2022-04-29 23:00";0,1;8,4;0,27;71,5;9,8;2,4;4,6;252;0,7
"2022-04-29 22:00";0,1;5,6;0,25;77,8;8,6;1,6;5,6;245;0,9
"2022-04-29 21:00";0,1;6,1;0,35;77,1;8,6;1,6;6,4;225;1,1
"2022-04-29 20:00";0,1;6,2;0,28;81,8;9,0;1,2;7,5;264;0,6
"2022-04-29 19:00";-0,0;4,0;0,21;85,7;9,4;0,8;8,1;295;1,2
"2022-04-29 18:00";-0,0;2,9;0,20;88,5;9,4;0,8;8,4;271;1,5
"2022-04-29 17:00";0,0;2,8;0,20;87,6;9,4;1,2;8,2;302;1,3
"2022-04-29 16:00";0,0;2,4;0,20;87,0;9,4;1,6;7,7;315;2,0
"2022-04-29 15:00";0,0;2,2;0,20;84,6;9,4;1,6;7,2;310;1,6
"2022-04-29 14:00";0,0;3,0;0,20;82,5;7,8;1,6;6,8;310;2,1
"2022-04-29 13:00";0,0;3,5;0,20;81,4;6,2;1,6;6,5;311;2,6
"2022-04-29 12:00";0,0;3,6;0,20;79,0;6,2;1,6;6,0;319;2,7
"2022-04-29 11:00";0,0;2,6;0,21;76,3;5,9;1,6;5,2;316;2,8
"2022-04-29 10:00";0,1;3,3;0,21;73,1;5,5;1,6;4,1;313;2,6
"2022-04-29 09:00";0,0;3,9;0,20;68,9;5,5;1,6;2,9;307;2,2
"2022-04-29 08:00";-0,0;2,8;0,20;68,1;5,9;1,6;2,7;310;2,1
"2022-04-29 07:00";0,0;1,9;0,19;62,7;6,2;1,6;2,5;295;1,6
"2022-04-29 06:00";0,0;-0,1;0,19;67,5;6,2;1,6;3,0;286;1,4
"2022-04-29 05:00";0,2;1,6;0,18;69,8;6,2;2,4;3,4;279;1,1
"2022-04-29 04:00";0,3;0,5;0,20;66,7;6,2;3,2;3,3;232;0,9
"2022-04-29 03:00";0,1;0,3;0,20;67,7;6,2;3,2;2,9;219;0,8
"2022-04-29 02:00";-0,0;1,3;0,25;69,5;10,9;3,6;2,7;199;1,2
"2022-04-29 01:00";-0,0;0,8;0,23;70,7;15,6;4,0;2,6;210;0,8
"2022-04-29 00:00";-0,0;1,1;0,22;75,2;15,6;4,0;3,0;226;0,9
"2022-04-28 23:00";0,6;7,6;0,38;70,6;14,1;2,8;4,9;198;1,3
"2022-04-28 22:00";0,2;7,5;0,38;75,5;12,5;1,6;5,3;205;0,9
"2022-04-28 21:00";0,2;7,6;0,38;75,6;12,5;1,6;5,7;206;1,0
"2022-04-28 20:00";0,3;7,7;0,36;77,8;11,3;0,8;6,0;204;0,9
"2022-04-28 19:00";0,0;3,2;0,21;81,1;10,2;0,0;6,7;275;1,1
"2022-04-28 18:00";0,0;3,2;0,22;79,9;10,2;0,0;7,4;260;1,1
"2022-04-28 17:00";0,1;2,3;0,21;78,0;11,7;0,4;8,0;263;1,0
"2022-04-28 16:00";0,0;1,3;0,19;76,4;13,3;0,8;7,5;279;1,2
"2022-04-28 15:00";0,1;0,9;0,19;76,0;13,3;0,8;7,8;301;1,7
"2022-04-28 14:00";0,2;1,0;0,19;74,7;12,9;2,0;6,8;295;1,7
"2022-04-28 13:00";0,4;1,2;0,19;73,1;12,5;3,2;5,6;298;1,7
"2022-04-28 12:00";0,4;1,6;0,20;70,0;12,5;3,2;4,6;296;1,9
"2022-04-28 11:00";0,5;1,7;0,21;67,7;12,1;4,4;3,9;280;1,7
"2022-04-28 10:00";0,5;3,1;0,21;65,2;11,7;5,5;3,4;285;1,5
"2022-04-28 09:00";0,9;6,5;0,21;59,9;11,7;5,5;2,5;278;1,1
"2022-04-28 08:00";0,9;5,6;0,22;60,9;11,7;6,3;1,6;261;1,1
"2022-04-28 07:00";1,0;14,5;0,27;52,7;11,7;7,1;0,7;242;0,8
"2022-04-28 06:00";0,4;4,3;0,24;58,6;11,7;7,1;0,2;278;0,7
"2022-04-28 05:00";0,7;3,5;0,32;59,8;22,6;13,1;0,1;211;0,9
"2022-04-28 04:00";0,6;4,4;0,33;61,0;33,6;19,0;-0,0;194;1,6
"2022-04-28 03:00";0,5;6,8;0,36;57,6;33,6;19,0;0,1;195;1,2
"2022-04-28 02:00";0,6;20,0;0,58;45,1;30,8;18,2;-0,3;194;1,6
"2022-04-28 01:00";0,7;28,1;0,71;36,2;28,1;17,4;0,2;190;1,2
"2022-04-28 00:00";0,7;24,1;0,75;38,9;28,1;17,4;1,3;202;1,6
"2022-04-27 23:00";0,6;21,1;0,63;48,1;18,4;9,5;2,3;198;1,8
"2022-04-27 22:00";0,7;14,7;0,42;61,5;8,6;1,6;3,0;177;1,3
"2022-04-27 21:00";0,9;9,4;0,32;66,4;8,6;1,6;4,0;96;1,1
"2022-04-27 20:00";0,6;4,0;0,22;72,3;9,8;1,2;4,9;49;1,3
"2022-04-27 19:00";0,1;2,4;0,20;76,0;10,9;0,8;6,0;346;1,4
"2022-04-27 18:00";0,1;3,4;0,20;77,1;10,9;0,8;6,4;337;1,7
"2022-04-27 17:00";0,1;1,9;0,19;78,4;10,9;0,8;6,5;339;1,9
"2022-04-27 16:00";0,1;1,8;0,19;79,6;10,9;0,8;6,5;335;1,8
"2022-04-27 15:00";0,1;1,6;0,20;81,4;10,9;0,8;6,2;326;2,4
"2022-04-27 14:00";0,1;1,5;0,19;79,1;9,8;1,6;6,0;328;2,3
"2022-04-27 13:00";0,1;1,5;0,20;77,3;8,6;2,4;6,0;331;2,2
"2022-04-27 12:00";0,2;1,9;0,20;77,3;8,6;2,4;5,7;329;2,1
"2022-04-27 11:00";0,2;2,0;0,21;79,6;8,6;2,8;5,3;327;2,0
"2022-04-27 10:00";0,5;3,0;0,20;77,4;8,6;3,2;4,8;328;2,1
"2022-04-27 09:00";1,3;7,5;0,21;70,4;8,6;3,2;3,5;324;1,6
"2022-04-27 08:00";0,6;5,2;0,21;70,2;9,4;4,4;3,0;342;1,7
"2022-04-27 07:00";0,4;4,3;0,21;60,1;10,2;5,5;2,7;343;1,3
"2022-04-27 06:00";0,6;2,6;0,21;61,5;10,2;5,5;2,8;346;1,2
"2022-04-27 05:00";0,7;0,9;0,21;64,6;15,6;5,9;3,2;351;0,9
"2022-04-27 04:00";1,1;1,1;0,21;68,5;21,1;6,3;4,0;346;1,0
"2022-04-27 03:00";0,3;13,1;0,34;43,6;21,1;6,3;4,5;323;0,8
"2022-04-27 02:00";0,1;17,6;0,40;38,8;19,5;4,7;4,6;297;0,2
"2022-04-27 01:00";0,2;14,6;0,44;49,0;18,0;3,2;4,9;280;0,4
"2022-04-27 00:00";0,3;17,9;0,33;53,1;18,0;3,2;5,6;196;0,5
"2022-04-26 23:00";0,6;15,9;0,27;63,4;15,6;2,4;6,6;135;0,5
"2022-04-26 22:00";0,3;14,5;0,25;67,2;13,3;1,6;7,4;87;0,6
"2022-04-26 21:00";0,1;5,9;0,25;80,9;13,3;1,6;8,8;330;1,0
"2022-04-26 20:00";0,1;5,0;0,21;83,4;10,5;1,6;10,1;346;1,3
"2022-04-26 19:00";0,0;6,6;0,21;83,4;7,8;1,6;10,7;329;1,9
"2022-04-26 18:00";0,1;8,6;0,22;79,6;7,8;1,6;11,3;327;2,1
"2022-04-26 17:00";0,1;5,9;0,21;84,8;10,5;2,0;11,6;317;1,7
"2022-04-26 16:00";0,0;3,8;0,20;84,3;13,3;2,4;11,4;317;2,0
"2022-04-26 15:00";0,1;4,2;0,20;81,7;13,3;2,4;11,1;318;1,8
